Model,Accuracy,F1 Score,Val Loss,Training Time (s),Parameters,Epochs,Use Columns
PatchDuET-Baseline,0.9079365079365079,0.9058715698193687,0.32409897446632385,24.94856905937195,1809667,7,No
PatchDuET-Columns,0.8776334776334777,0.8726486801228144,0.3954709768295288,18.542292594909668,1824132,5,Yes
