Model,Accuracy,F1 Score,Val Loss,Training Time (s),Parameters,Epochs
DuET,0.6943722943722944,0.6907780788324845,1.8850499391555786,57.95645260810852,1781379,8
HF-PatchTST,0.49004329004329006,0.5401066900163999,1.70693838596344,96.39310479164124,4254724,7
Custom-PatchTST,0.9036075036075036,0.9026021037277487,0.3928942084312439,24.70985198020935,1795331,9
CNN,0.9278499278499278,0.927826197080503,0.2434222549200058,18.612889528274536,684931,11
PatchTSTNan,0.9240981240981241,0.9245604304010315,0.22430206835269928,36.308088302612305,1809667,13

