Model,Accuracy,F1 Score,Val Loss,Training Time (s),Parameters,Epochs
DuET,0.333,0.16637509377344337,1.1006009578704834,15.864010095596313,847043,11
PatchTST,0.566,0.5319023310095301,1.7648876905441284,13.613778591156006,859267,11
CNN,0.65,0.6517552458752851,1.2097530364990234,9.132438898086548,494595,11
