Model,Accuracy,F1 Score,Val Loss,Training Time (s),Parameters,Epochs,Use Columns
PatchTREA-C-Baseline,0.9079365079365079,0.9058715698193687,0.32409897446632385,23.784180164337158,1809667,7,No
PatchTREA-C-Columns,0.8776334776334777,0.8726486801228144,0.3954709768295288,17.15645933151245,1824132,5,Yes
