Model,Accuracy,F1 Score,Val Loss,Training Time (s),Parameters,Epochs
TREA-C,0.7604617604617605,0.7577903816784173,0.7824351191520691,136.43280124664307,1781379,16
PatchTSTNan,0.9004329004329005,0.9011643306842005,0.43905192613601685,37.41896200180054,1809667,11
