Model,Accuracy,F1 Score,Val Loss,Training Time (s),Parameters,Epochs
DuET,0.7711399711399711,0.7661897721786101,0.6039642095565796,108.63673210144043,1781379,14
HF-PatchTST,0.4782106782106782,0.558051049263532,1.5029217004776,98.19576048851013,4254724,7
Custom-PatchTST,0.9151515151515152,0.9144922315374885,0.4101239740848541,41.64042568206787,1795331,13
CNN,0.9301587301587302,0.9308002468136675,0.4163466989994049,12.815132856369019,684931,7
PatchTSTNan,0.9186147186147187,0.9187214873497955,0.2192646563053131,37.16725730895996,1809667,12
